NoOfEvals,ArexJggOffsetRastriginP14K5_0,ArexJggOffsetRastriginP14K5_1,ArexJggOffsetRastriginP14K5_2
0,299.44635445038637,264.3423051997499,255.89174378124093
100,299.44635445038637,249.88669898519646,255.89174378124093
1100,264.1787875838455,211.51038472121462,231.76874858385278
2100,210.15533509586413,193.1757085092504,192.9586997031448
3100,148.76083496621297,162.49109869035044,167.10958354042364
4100,154.98068817162317,142.4022604543794,146.45649384777317
5100,146.58586266165744,142.4022604543794,165.35215722107984
6100,146.58586266165744,142.4022604543794,141.52173560179673
7100,133.9821199758221,142.4022604543794,135.70402301662878
8100,153.7168613998042,141.721610898633,135.70402301662878
9100,153.7168613998042,109.53699152432658,135.70402301662878
10100,149.93079187325242,141.721610898633,135.70402301662878
11100,134.32410370186406,133.6625983866276,135.70402301662878
12100,132.07375022580405,107.2903076603468,142.41570188145153
13100,137.6399024453697,107.2903076603468,135.4699590892244
14100,124.44745540233095,107.2903076603468,115.5535069382924
15100,124.44745540233095,145.6738171303543,139.98067405213664
16100,138.10731622560064,137.9414765510731,133.0838139565579
17100,122.42744976789609,134.5161915252976,122.66080498041389
18100,132.11007578446538,133.03722827404238,125.26426515436015
19100,136.40928844491074,133.03722827404238,125.26426515436015
20100,136.40928844491074,125.26004678812903,128.31715887923457
21100,116.17550916593844,113.97259133160979,139.41162847859144
22100,129.88751143226776,110.54229261181679,118.03018046263941
23100,104.9234386149187,128.28958422911447,135.1008713294734
24100,127.29474116115968,133.89405703281096,125.9309319541398
25100,129.88751143226776,114.28618444315099,108.03538734934733
26100,120.81802824262972,114.28618444315099,126.16544641327309
27100,124.96913750226827,121.01405140286622,126.16544641327309
28100,124.96913750226827,105.27919530264683,123.81454310800129
29100,124.96913750226827,105.27919530264683,115.34498192693196
30100,118.70636247283815,131.47895750813257,124.5576384034886
31100,118.5481379321438,125.79403137399007,94.69664990057382
32100,118.5481379321438,103.3893983576068,115.33742824168083
33100,119.21157167123476,103.3893983576068,115.33742824168083
34100,100.8181441225121,119.50448562503013,126.5364014604902
35100,112.27125792152017,119.50448562503013,131.5326587090393
36100,119.21157167123476,123.40735365074721,131.5326587090393
37100,120.87115509740008,115.00101116752369,122.27207166458332
