NoOfEvals,RexJggKTabletP28K5_0,RexJggKTabletP28K5_1,RexJggKTabletP28K5_2
0,415756.5855298086,441159.701023953,511327.92562854424
100,411918.94379542704,217894.53825901277,367528.6460981896
1100,244529.55403051228,217894.53825901277,184018.66280344638
2100,157238.65959299807,141581.37584789895,112532.90823392429
3100,103186.40971329433,123014.14688279167,107684.95247355808
4100,88383.27669458577,67850.38286041797,98823.536755821
5100,71019.9714706585,68753.92178560932,73029.4566516147
6100,57484.38673112796,64497.90441438308,40433.895660363676
7100,40977.219896065464,54056.38087489105,38310.037640803464
8100,28208.60057604342,34286.8035695145,35930.974891518264
9100,25395.460096470102,34286.8035695145,22665.06091503661
10100,23761.415020581324,23008.767339818438,18856.382831752402
11100,14838.040853965846,12290.658459420196,16896.11868553727
12100,13160.031716729869,10497.428319634028,9364.968312039382
13100,11380.789593238958,10183.706201410036,7265.392529633944
14100,9646.515129639027,8641.2215765426,7265.392529633944
15100,7980.290046333925,7390.98680922219,7265.392529633944
16100,7284.942260391565,6140.4308648885635,4675.5665329551675
17100,5099.514681780402,3180.520526108873,3669.1521341721264
18100,4075.00342470011,3180.520526108873,4009.6473832195043
19100,2908.53280936925,2494.2546647203226,3528.741294145856
20100,1171.0517665904513,2471.6198094305614,2647.2552972741087
21100,1837.8055795624725,1463.990865125291,1204.9197750639833
22100,1025.9398737404717,1140.052184845422,1569.4169460361088
23100,1025.9398737404717,940.854731428587,1475.4144300337314
24100,1025.9398737404717,590.0779934070325,528.1830792611041
25100,950.0736585067347,590.0779934070325,528.1830792611041
26100,505.1754971791073,590.0779934070325,528.1830792611041
27100,457.6503856475973,590.0779934070325,567.3939947600355
28100,354.85825540948946,247.97439798590102,512.1496582791732
29100,189.2490004097079,251.1942498231618,377.32693507052835
30100,189.2490004097079,197.40445726420754,253.57694470118452
31100,189.2490004097079,138.3357699730215,220.1424148739264
32100,127.08143106116118,116.32299211337664,146.52355054533047
33100,127.08143106116118,116.32299211337664,145.7977038545977
34100,100.87399834406101,88.11567126205958,80.62502261041114
35100,78.92352902336424,88.11567126205958,84.89064885805847
36100,65.67686946523342,54.09465289972596,66.05572058672651
37100,47.05663386807266,48.4126144795154,55.17767451538948
38100,31.78575895731052,18.35205940267466,41.111110821563095
39100,31.78575895731052,18.35205940267466,33.84557021997402
40100,22.282429747043743,22.708377260383354,20.643442247877008
41100,19.387373028317068,22.708377260383354,17.340116493166896
42100,11.70785772314041,22.708377260383354,10.501147547545571
43100,11.70785772314041,12.540057961459636,14.145153590164794
44100,12.293298645895149,12.540057961459636,13.74203457802961
45100,9.061394545447095,9.523578189604065,9.557286149663328
46100,7.178504077163488,8.59582665694652,8.458946385868916
47100,6.898401834554717,6.1409025501555305,5.688113220830767
48100,5.0277659563161325,3.9297890537566444,4.058914148680401
49100,4.213039737217973,3.9297890537566444,4.058914148680401
50100,4.025249628467938,2.9092943142068437,3.5080069956772824
51100,2.5636645405373057,2.9092943142068437,2.139159050439358
52100,2.1066103272631564,2.2824869832673094,2.139159050439358
53100,1.2865126275217569,2.2824869832673094,1.899147297896739
54100,1.6215516333567583,1.3648197771813724,1.2599828569773586
55100,0.8482622932808354,1.3648197771813724,1.2247148508929369
56100,0.7526352156523676,0.9722721166832856,0.9115705083186183
57100,0.8261621837889663,0.9722721166832856,0.9115705083186183
58100,0.8261621837889663,0.7516824390794401,0.5177562163848153
59100,0.6011732902911205,0.7516824390794401,0.5177562163848153
60100,0.48673838418219584,0.8727706786166344,0.3355825496831626
61100,0.48673838418219584,0.8012934253206478,0.3355825496831626
62100,0.39645914719890984,0.6751964106794786,0.36431551666676754
63100,0.42766857927071417,0.652076367999104,0.3375116919744962
64100,0.4216167711503371,0.6038293471871188,0.2342187970580172
65100,0.24254827370813117,0.5829962873484188,0.21982100094845317
66100,0.24254827370813117,0.5365201446812872,0.1984076226104881
67100,0.24254827370813117,0.42507737123149303,0.161252270573726
68100,0.2245742336933577,0.4205080564483944,0.1729511886211903
69100,0.19085299102664874,0.3820584133738707,0.13986208333100258
70100,0.1344384955229863,0.3315982904061736,0.10308658080580799
71100,0.1282719529810343,0.264962035231537,0.10308658080580799
72100,0.1282719529810343,0.23004740390551862,0.10105347471765774
73100,0.09279409033741211,0.16986246227486068,0.10105347471765774
74100,0.09443009256946457,0.14861108446181362,0.09131547894534632
75100,0.07527583451134069,0.11828673331519227,0.06827120248556866
76100,0.05642025680143727,0.08091940601456722,0.0557804988188951
77100,0.053622010781650103,0.07010353082280389,0.0557804988188951
78100,0.04352390501738059,0.06240962447880889,0.04067239487725935
79100,0.02007558138687832,0.04281356051533057,0.028991736697133626
80100,0.02007558138687832,0.03281626551320013,0.026868695420191137
81100,0.018323135106920643,0.019702615763150546,0.021329296655424133
82100,0.017520593224099094,0.019702615763150546,0.014592655924019603
83100,0.0163467650840608,0.018424541013430853,0.010200016944064085
84100,0.01332394470694243,0.013553217737944677,0.010910864071900806
85100,0.010725522471498354,0.01251199949346804,0.007194243552940252
86100,0.008732588425519399,0.01012605075832397,0.004642548808477945
87100,0.007845754069770327,0.00715344280108581,0.0046897584082583495
88100,0.006747798285416663,0.005357431402377204,0.002950040705631163
89100,0.003784250728466196,0.005357431402377204,0.002873263324464051
90100,0.003784250728466196,0.0034122840008471147,0.002873263324464051
91100,0.003784250728466196,0.003399974504247801,0.0024021039024374738
92100,0.0025438566390277636,0.0032746301155641045,0.0015020446502743924
93100,0.002683791383998102,0.0022297951417473184,0.0011831010016625657
94100,0.0020696748660327426,0.0020900722483479916,8.423315666796972E-4
95100,0.0017121714840843245,0.001980130984233001,8.825578034223278E-4
96100,0.001350259181220696,0.001980130984233001,8.18277153163356E-4
97100,6.746094587413334E-4,0.001050991610724952,7.957594557459417E-4
98100,6.746094587413334E-4,9.804471793257625E-4,3.927575069610914E-4
99100,7.229203637578102E-4,8.49915857794124E-4,3.927575069610914E-4
100100,6.688098337456514E-4,7.077608542161762E-4,3.927575069610914E-4
101100,4.7230160577251413E-4,4.885234981262674E-4,2.837938081718405E-4
102100,4.21959035985014E-4,4.690951357692788E-4,1.881811787684314E-4
103100,2.68851618050798E-4,3.941227648147281E-4,2.1583992537629814E-4
104100,2.68851618050798E-4,2.1854720861630512E-4,1.1427505458889074E-4
105100,2.0836293658630292E-4,2.0859391937894667E-4,1.1427505458889074E-4
106100,1.4377703189746702E-4,1.3793483071737524E-4,1.1334549365774373E-4
107100,1.4124574290363322E-4,1.3793483071737524E-4,8.013728412624454E-5
108100,9.06629073469269E-5,1.5498732843916414E-4,7.23077452157358E-5
109100,7.338941862960642E-5,1.1195265612451823E-4,6.805347160632781E-5
110100,7.263778654721484E-5,6.270065803212741E-5,5.70798659651839E-5
111100,6.442122337052337E-5,8.034537876111666E-5,4.026305033110223E-5
112100,2.6676840736323913E-5,6.092001885718294E-5,3.26160361314433E-5
113100,2.6676840736323913E-5,5.2374154401061744E-5,2.702418342597986E-5
114100,3.461649711756116E-5,2.6636774636916438E-5,1.5446442557295963E-5
115100,2.421125007413241E-5,1.8888894527827912E-5,1.5446442557295963E-5
116100,1.8623785447078374E-5,2.6636774636916438E-5,1.1730176942644818E-5
117100,1.6639956048374712E-5,9.36971265694001E-6,9.605440726786948E-6
118100,1.0666179673751787E-5,5.00725324063924E-6,8.051519932457598E-6
119100,1.0050627031825613E-5,5.00725324063924E-6,9.605440726786948E-6
120100,9.97530343864304E-6,5.00725324063924E-6,7.492124904512644E-6
121100,8.553466715668534E-6,7.309961589141693E-6,6.121514546398218E-6
122100,5.787540610386182E-6,6.352180471311179E-6,5.027099275070343E-6
123100,3.9917772675467245E-6,6.6553003583517426E-6,3.3827114792810723E-6
124100,3.9917772675467245E-6,4.003311987169331E-6,1.9553870544802162E-6
125100,2.998266244439049E-6,3.188974820930948E-6,1.9553870544802162E-6
126100,2.998266244439049E-6,2.19285898145353E-6,1.9553870544802162E-6
127100,2.4968735400362563E-6,2.1874177208016886E-6,1.6475789863305789E-6
128100,1.3428726736295868E-6,1.7294952532676598E-6,1.3344270168063837E-6
129100,1.2085761775432154E-6,1.4632054620039789E-6,8.315697847373897E-7
130100,1.0809509442055466E-6,9.843091846856957E-7,8.315697847373897E-7
131100,6.871279547691713E-7,9.843091846856957E-7,7.082774164626798E-7
132100,6.69700136071725E-7,8.664268822285115E-7,6.212532040853904E-7
133100,6.133455979996635E-7,7.470206904516944E-7,5.113527803884961E-7
134100,4.849971896542771E-7,6.765860067048276E-7,3.4207218155126933E-7
135100,3.773061740716353E-7,4.1270932105026317E-7,2.3746772287026663E-7
136100,3.773061740716353E-7,3.586087183363232E-7,1.79108326561804E-7
137100,2.5735847005359927E-7,3.09957617617856E-7,1.79108326561804E-7
138100,1.8058911415947195E-7,2.4420949759444E-7,1.7944825030633705E-7
139100,1.661118000487649E-7,1.3777052117964344E-7,1.349168986190053E-7
140100,1.1182645704755514E-7,1.3777052117964344E-7,1.0832157279855211E-7
140700,1.0652682705872162E-7,1.1559225167682044E-7,9.596834883562006E-8
141900,9.33237494915191E-8,7.289313281266561E-8,
