NoOfEvals,RexJggKTabletP14K5_0,RexJggKTabletP14K5_1,RexJggKTabletP14K5_2
0,545921.828028198,556266.9254666865,457180.7179479011
100,265950.0637430108,294335.732918817,388208.20487742656
1100,167699.5156324045,170022.54393268362,98362.89174809563
2100,87509.22598823608,147188.28017308636,98362.89174809563
3100,69504.46925544427,75478.45982174095,82371.11302533798
4100,40395.01964916345,32705.626225713975,24586.209866538986
5100,29759.386039090892,12662.060705086691,18116.360865665993
6100,15882.757639378244,12370.072659212125,16384.405717765454
7100,6694.860582016561,11412.12742912226,8426.034190216396
8100,6276.60338514749,6443.540278623693,7570.63455410133
9100,3242.2935728890407,3366.798744554432,4783.348913276354
10100,2059.98047817903,2003.489308312034,2144.479925068233
11100,1480.734932470707,1525.9657708940863,1511.4136092514977
12100,1038.344984386345,820.4492990409719,674.2495619924096
13100,846.4343964747652,735.9732322476168,597.8324252907852
14100,386.9979637685816,576.1285313423534,318.96336875231606
15100,181.3109214832586,356.06900066224534,232.0115156577159
16100,92.71843162952446,202.99150960169214,135.09164272787038
17100,75.48614681158938,112.9129252646472,91.95301153320874
18100,44.22416562939612,89.60621318612691,49.444138143010576
19100,46.79951996970499,62.95016076685584,35.99974123400391
20100,22.922905001532744,45.12343291685805,33.993132874053295
21100,22.415623184425844,20.883302248968832,15.096772895701308
22100,10.065956833730324,13.356386615009644,9.213078544461373
23100,7.348821179483043,11.817351854221567,5.848370346090499
24100,4.6125974226406985,9.116698073472879,3.9010807687348277
25100,4.006717026156696,4.129197951884356,2.5843645161287694
26100,2.031227045560169,5.448501112418071,1.9335352535442367
27100,1.7140312046756436,3.8841846751318068,1.2771683637457476
28100,1.2378369529846118,2.970853958575002,0.76652522311971
29100,0.8515535696434907,2.7548018444737505,0.8725140632240352
30100,0.8808293681862289,2.3836914490616126,0.5040286722319599
31100,0.6802120180379658,2.1489025254950844,0.4329807055261131
32100,0.5499923426395001,1.9004577194107457,0.386923589737278
33100,0.4493341788439914,1.5478089819894223,0.31417177471335017
34100,0.3869179006893378,1.4143387586207026,0.2502772810299109
35100,0.30331097933979506,1.0817168741773675,0.22355727824767033
36100,0.1842278714420538,0.5400442554338288,0.15715527860450085
37100,0.1842278714420538,0.5370858215159633,0.15273233536381456
38100,0.1318742448842241,0.39697514087067043,0.12469997070953988
39100,0.10116674043232647,0.29735516993076055,0.0954813358218755
40100,0.07477012227746872,0.2293513122373947,0.06492752245975708
41100,0.05955738607938092,0.18028049546112093,0.06492752245975708
42100,0.04583336897454553,0.1529088414372708,0.04763753898663813
43100,0.031022781869591547,0.08499903310374547,0.03669965385422761
44100,0.02203226838671701,0.0784320949409465,0.03273318567054696
45100,0.01825618777365236,0.05953432500293694,0.021275152419218433
46100,0.014650555878010727,0.03843178291428478,0.017528234221781607
47100,0.013410381780320304,0.02758425124714959,0.011533502293273443
48100,0.010418841766024227,0.022906001086235726,0.009572799105321574
49100,0.008697897822633641,0.02093264442922089,0.007818840210106892
50100,0.0074218965068015685,0.013494982910386182,0.005054455319064421
51100,0.004043606749387552,0.010616758863554978,0.003118683929423037
52100,0.004115170922580695,0.007917539762399547,0.0026470007505483796
53100,0.0025074879296203174,0.005616506193838317,0.001942497190769098
54100,0.0025074879296203174,0.003958405208832144,7.861163336521656E-4
55100,0.0019679399699896703,0.0032517112941803546,5.427858654981013E-4
56100,0.0013039832783009015,0.0024870319486134315,4.4050707995323796E-4
57100,9.604044054430066E-4,0.0019992881903229585,3.276721702966052E-4
58100,7.027840664634036E-4,0.0016815297409203537,2.3798790654203883E-4
59100,5.365406709969391E-4,0.0013133644234243752,2.0076910423025756E-4
60100,4.00643954917282E-4,7.946525070338158E-4,9.588926521834727E-5
61100,2.5320960716335915E-4,6.254342897167484E-4,9.280508090774603E-5
62100,2.2573242749451686E-4,2.745981601551919E-4,5.887325761522321E-5
63100,1.3896129873418209E-4,2.745981601551919E-4,5.126963397071956E-5
64100,1.2379456898970178E-4,2.714771408158742E-4,3.9991554646938984E-5
65100,6.760148930025844E-5,1.7739208665607632E-4,2.6021648466796533E-5
66100,5.3297006595437326E-5,1.5156677584564376E-4,1.3583236213378002E-5
67100,3.72982278080105E-5,1.0098176523453604E-4,8.909321698266235E-6
68100,2.1664049630723144E-5,5.839752609644693E-5,6.432700379922266E-6
69100,1.7303150665222994E-5,6.217726152445872E-5,3.4142321242761818E-6
70100,1.3502066757097324E-5,2.6081015695926878E-5,2.7591571484709763E-6
71100,8.260975992755807E-6,1.794347599413817E-5,2.092668021487013E-6
72100,5.8339423207298844E-6,1.4004161401058397E-5,1.0886264662713908E-6
73100,4.129671211402339E-6,1.0180427374928045E-5,1.007377453659918E-6
74100,3.717978632725644E-6,8.233535497867925E-6,6.145451750866067E-7
75100,1.9382758933790483E-6,4.345098839669713E-6,3.553749757200322E-7
76100,1.103632094446076E-6,3.8750408600292435E-6,3.1698728486480706E-7
77100,7.887205902398796E-7,1.7211939366316388E-6,1.961929978183777E-7
78100,5.788160647282374E-7,1.0995203279962087E-6,1.2319833167711075E-7
78200,3.688562402332408E-7,1.0290237430156488E-6,8.229588332323157E-8
80100,2.340947158935277E-7,4.877453037140576E-7,
81100,1.374088489513161E-7,4.4696235224274237E-7,
82100,6.96717660756887E-8,2.9797431821898105E-7,
83100,,2.309627388106804E-7,
84100,,1.330508772349199E-7,
84800,,8.421924148368057E-8,
