NoOfEvals,UndxMggKTabletP14K5_0,UndxMggKTabletP14K5_1,UndxMggKTabletP14K5_2
262100,22.897319760487466,22.561559534357816,31.75230375414129
263100,22.897319760487466,22.561559534357816,23.83697574598471
264100,22.897319760487466,22.561559534357816,23.83697574598471
265100,16.74338672275913,22.561559534357816,23.83697574598471
266100,16.74338672275913,22.561559534357816,23.83697574598471
267100,16.74338672275913,22.004353760643998,23.83697574598471
268100,16.74338672275913,22.004353760643998,23.83697574598471
269100,16.74338672275913,22.004353760643998,23.83697574598471
270100,15.357692144825668,22.004353760643998,23.83697574598471
271100,15.357692144825668,20.712784914090314,23.83697574598471
272100,15.357692144825668,20.712784914090314,23.83697574598471
273100,15.357692144825668,20.331936294325413,23.665775526973583
274100,15.357692144825668,20.331936294325413,23.665775526973583
275100,15.357692144825668,15.565224015682574,23.665775526973583
276100,15.357692144825668,15.565224015682574,23.665775526973583
277100,15.357692144825668,15.565224015682574,23.665775526973583
278100,15.357692144825668,13.495820380194662,23.665775526973583
279100,15.357692144825668,13.495820380194662,23.665775526973583
280100,15.357692144825668,10.207675035913281,23.665775526973583
281100,15.357692144825668,10.207675035913281,23.665775526973583
282100,15.357692144825668,10.207675035913281,18.225712388069486
283100,15.357692144825668,10.207675035913281,18.225712388069486
284100,15.357692144825668,10.207675035913281,11.154798641236338
285100,15.357692144825668,10.207675035913281,11.154798641236338
286100,15.357692144825668,10.207675035913281,11.154798641236338
287100,15.357692144825668,10.207675035913281,11.154798641236338
288100,15.357692144825668,8.027076223153145,11.154798641236338
289100,14.895543125961336,7.794222892318232,11.154798641236338
290100,11.688251349732033,7.794222892318232,11.154798641236338
291100,11.688251349732033,7.179535327214563,10.453392431717903
292100,11.688251349732033,7.179535327214563,10.453392431717903
293100,11.688251349732033,7.179535327214563,10.453392431717903
294100,11.688251349732033,7.179535327214563,10.453392431717903
295100,11.688251349732033,7.179535327214563,10.076810880323508
296100,11.688251349732033,7.179535327214563,10.076810880323508
297100,8.973878955003618,7.179535327214563,10.076810880323508
298100,8.973878955003618,7.179535327214563,10.076810880323508
299100,8.973878955003618,7.179535327214563,10.076810880323508
300100,8.973878955003618,7.179535327214563,8.361520767052024
301100,8.973878955003618,7.179535327214563,8.361520767052024
302100,7.662956647269166,7.179535327214563,8.361520767052024
303100,7.662956647269166,7.179535327214563,8.361520767052024
304100,7.662956647269166,5.962956499480823,8.361520767052024
305100,7.662956647269166,5.4193298409585555,8.361520767052024
306100,7.662956647269166,5.4193298409585555,8.361520767052024
307100,7.662956647269166,5.4193298409585555,8.361520767052024
308100,7.662956647269166,5.4193298409585555,8.361520767052024
309100,7.662956647269166,5.108554940696493,8.361520767052024
310100,4.123838463845113,5.108554940696493,8.361520767052024
311100,4.123838463845113,5.108554940696493,8.361520767052024
312100,4.123838463845113,5.108554940696493,8.361520767052024
313100,4.123838463845113,5.108554940696493,8.361520767052024
314100,4.123838463845113,5.108554940696493,4.759598650398558
315100,4.123838463845113,5.108554940696493,4.759598650398558
316100,4.123838463845113,5.108554940696493,4.759598650398558
317100,4.123838463845113,5.108554940696493,4.759598650398558
318100,4.123838463845113,5.108554940696493,3.6017862695825986
319100,4.123838463845113,4.332111271728261,3.6017862695825986
320100,4.123838463845113,3.09097387638082,3.6017862695825986
321100,4.123838463845113,3.09097387638082,3.6017862695825986
322100,4.123838463845113,3.09097387638082,3.6017862695825986
323100,4.123838463845113,3.09097387638082,3.6017862695825986
324100,4.123838463845113,3.09097387638082,3.6017862695825986
325100,4.123838463845113,3.09097387638082,3.6017862695825986
326100,4.123838463845113,3.09097387638082,3.6017862695825986
327100,4.123838463845113,3.09097387638082,3.6017862695825986
328100,4.123838463845113,3.09097387638082,3.6017862695825986
329100,4.123838463845113,3.09097387638082,3.6017862695825986
330100,4.123838463845113,3.09097387638082,3.6017862695825986
331100,4.123838463845113,3.09097387638082,3.6017862695825986
332100,4.123838463845113,3.09097387638082,3.6017862695825986
333100,4.123838463845113,2.5212786235064644,3.6017862695825986
334100,4.123838463845113,2.5212786235064644,3.6017862695825986
335100,4.123838463845113,2.5212786235064644,3.6017862695825986
336100,3.427929054774529,2.5212786235064644,3.6017862695825986
337100,3.427929054774529,2.5212786235064644,3.6017862695825986
338100,3.427929054774529,2.5212786235064644,3.6017862695825986
339100,3.427929054774529,2.5212786235064644,3.6017862695825986
340100,3.427929054774529,2.5212786235064644,3.6017862695825986
341100,3.427929054774529,2.0249043580597927,3.6017862695825986
342100,3.427929054774529,2.0249043580597927,3.510008752790625
343100,3.427929054774529,2.0249043580597927,3.510008752790625
344100,2.7839506507206195,2.0249043580597927,3.510008752790625
345100,2.6674796890966515,2.0249043580597927,3.510008752790625
346100,2.6674796890966515,2.0249043580597927,3.510008752790625
347100,2.6674796890966515,2.0249043580597927,3.510008752790625
348100,2.6024962285498394,2.0249043580597927,3.510008752790625
349100,2.6024962285498394,2.0249043580597927,3.510008752790625
350100,2.6024962285498394,2.0249043580597927,3.510008752790625
351100,2.6024962285498394,2.0249043580597927,3.510008752790625
352100,2.6024962285498394,2.0249043580597927,3.510008752790625
353100,2.6024962285498394,2.0249043580597927,3.510008752790625
354100,2.6024962285498394,1.1565245140063916,3.510008752790625
355100,2.6024962285498394,1.1565245140063916,3.510008752790625
356100,2.6024962285498394,1.1565245140063916,3.3326817559253676
357100,2.6024962285498394,1.1565245140063916,3.3326817559253676
358100,2.6024962285498394,1.1565245140063916,3.3326817559253676
359100,1.9269955031301633,1.1565245140063916,3.3326817559253676
360100,1.9269955031301633,1.1565245140063916,2.64373623117914
361100,1.9269955031301633,1.1565245140063916,2.64373623117914
362100,1.9269955031301633,1.1565245140063916,2.64373623117914
363100,1.9269955031301633,1.1565245140063916,2.64373623117914
364100,1.9269955031301633,1.1565245140063916,2.64373623117914
365100,1.9269955031301633,1.1565245140063916,2.64373623117914
366100,1.9269955031301633,1.1565245140063916,2.64373623117914
367100,1.9269955031301633,1.1565245140063916,2.64373623117914
368100,1.9269955031301633,1.1565245140063916,2.64373623117914
369100,1.9269955031301633,1.1565245140063916,2.64373623117914
370100,1.9269955031301633,1.1565245140063916,2.64373623117914
371100,1.9269955031301633,1.1565245140063916,2.64373623117914
372100,1.8895258659479006,1.1565245140063916,2.64373623117914
373100,1.8895258659479006,1.1565245140063916,2.64373623117914
374100,1.8895258659479006,1.1565245140063916,2.64373623117914
375100,1.8895258659479006,1.1565245140063916,2.64373623117914
376100,1.8895258659479006,1.1565245140063916,2.64373623117914
377100,1.8895258659479006,1.0361825694983748,2.64373623117914
378100,1.8895258659479006,1.0361825694983748,2.64373623117914
379100,1.8895258659479006,1.0361825694983748,2.64373623117914
380100,1.8895258659479006,1.0361825694983748,2.64373623117914
381100,1.8895258659479006,1.0361825694983748,2.5290537583671417
382100,1.8895258659479006,1.0361825694983748,2.5290537583671417
383100,1.8895258659479006,0.8550242257710625,2.5290537583671417
384100,1.8895258659479006,0.8550242257710625,2.5290537583671417
385100,1.4312350526590323,0.8550242257710625,2.5290537583671417
386100,1.4312350526590323,0.8550242257710625,1.7491040820706134
387100,1.4312350526590323,0.8550242257710625,1.4281325032255396
388100,1.4312350526590323,0.8550242257710625,1.4281325032255396
389100,1.4312350526590323,0.8550242257710625,1.4281325032255396
390100,1.4312350526590323,0.8550242257710625,1.266148367201815
391100,1.4312350526590323,0.8550242257710625,1.266148367201815
392100,1.4312350526590323,0.8550242257710625,1.266148367201815
393100,1.4312350526590323,0.8550242257710625,1.266148367201815
394100,1.4312350526590323,0.8550242257710625,1.266148367201815
395100,1.4312350526590323,0.8550242257710625,1.266148367201815
396100,1.4312350526590323,0.8550242257710625,1.266148367201815
397100,1.4312350526590323,0.839931258649072,1.266148367201815
398100,1.4312350526590323,0.839931258649072,1.266148367201815
399100,1.4312350526590323,0.839931258649072,1.266148367201815
400100,1.1940863828051294,0.839931258649072,1.266148367201815
401100,1.1940863828051294,0.839931258649072,1.266148367201815
402100,1.1940863828051294,0.839931258649072,1.266148367201815
403100,1.1940863828051294,0.7968136225795223,1.266148367201815
404100,1.1940863828051294,0.7968136225795223,1.266148367201815
405100,1.1940863828051294,0.7968136225795223,1.266148367201815
406100,1.1940863828051294,0.7968136225795223,1.266148367201815
407100,1.1940863828051294,0.7079167082098498,1.266148367201815
408100,1.1940863828051294,0.7079167082098498,1.266148367201815
409100,1.1940863828051294,0.7079167082098498,1.266148367201815
410100,1.0241363076538346,0.7079167082098498,1.266148367201815
411100,1.0241363076538346,0.7079167082098498,1.266148367201815
412100,1.0241363076538346,0.4382093352679316,1.266148367201815
413100,0.8634488940139498,0.4382093352679316,1.266148367201815
414100,0.8634488940139498,0.4382093352679316,1.266148367201815
415100,0.8634488940139498,0.4382093352679316,1.266148367201815
416100,0.8634488940139498,0.4382093352679316,1.266148367201815
417100,0.8634488940139498,0.4382093352679316,1.266148367201815
418100,0.8634488940139498,0.4382093352679316,1.266148367201815
419100,0.8634488940139498,0.43005812583878456,1.266148367201815
420100,0.8634488940139498,0.43005812583878456,1.266148367201815
421100,0.8634488940139498,0.43005812583878456,1.266148367201815
422100,0.8634488940139498,0.43005812583878456,1.266148367201815
423100,0.8634488940139498,0.43005812583878456,1.266148367201815
424100,0.8634488940139498,0.43005812583878456,1.0748132660698229
425100,0.8634488940139498,0.43005812583878456,1.0748132660698229
426100,0.8634488940139498,0.43005812583878456,1.0748132660698229
427100,0.8634488940139498,0.41000115546464255,1.0152361769513563
428100,0.8634488940139498,0.41000115546464255,1.0152361769513563
429100,0.8634488940139498,0.38940409437961876,1.0152361769513563
430100,0.8430657001224555,0.38940409437961876,1.0152361769513563
431100,0.7749666976033023,0.38940409437961876,1.0152361769513563
432100,0.7749666976033023,0.38940409437961876,0.9861029013148449
433100,0.7749666976033023,0.38940409437961876,0.9861029013148449
434100,0.7749666976033023,0.38940409437961876,0.9861029013148449
435100,0.7749666976033023,0.38940409437961876,0.9861029013148449
436100,0.7749666976033023,0.38940409437961876,0.9861029013148449
437100,0.7749666976033023,0.38940409437961876,0.9861029013148449
438100,0.7749666976033023,0.38940409437961876,0.9861029013148449
439100,0.7749666976033023,0.38940409437961876,0.9861029013148449
440100,0.7749666976033023,0.2938179453924368,0.9861029013148449
441100,0.7749666976033023,0.2938179453924368,0.9040767632056693
442100,0.7749666976033023,0.2938179453924368,0.9040767632056693
443100,0.7749666976033023,0.2938179453924368,0.9040767632056693
444100,0.7749666976033023,0.2938179453924368,0.9040767632056693
445100,0.7749666976033023,0.2938179453924368,0.9040767632056693
446100,0.67419374211115,0.2938179453924368,0.9040767632056693
447100,0.67419374211115,0.2938179453924368,0.9040767632056693
448100,0.67419374211115,0.2938179453924368,0.9040767632056693
449100,0.67419374211115,0.2938179453924368,0.9040767632056693
450100,0.67419374211115,0.2938179453924368,0.8329445257977995
451100,0.67419374211115,0.2938179453924368,0.8329445257977995
452100,0.6544114999684905,0.2938179453924368,0.8329445257977995
453100,0.6544114999684905,0.2938179453924368,0.8329445257977995
454100,0.6544114999684905,0.28412490187426337,0.8329445257977995
455100,0.6544114999684905,0.28412490187426337,0.8329445257977995
456100,0.6544114999684905,0.28412490187426337,0.8329445257977995
457100,0.6544114999684905,0.2816386411201782,0.8329445257977995
458100,0.6544114999684905,0.2816386411201782,0.8329445257977995
459100,0.6544114999684905,0.2816386411201782,0.8329445257977995
460100,0.6430349719668879,0.2816386411201782,0.8329445257977995
461100,0.6430349719668879,0.2816386411201782,0.7948045309081847
462100,0.5783650887994002,0.2816386411201782,0.7948045309081847
463100,0.5783650887994002,0.2816386411201782,0.7948045309081847
464100,0.5783650887994002,0.2816386411201782,0.7948045309081847
465100,0.5783650887994002,0.2816386411201782,0.7948045309081847
466100,0.5783650887994002,0.2816386411201782,0.7948045309081847
467100,0.5783650887994002,0.2816386411201782,0.7948045309081847
468100,0.5783650887994002,0.2816386411201782,0.7948045309081847
469100,0.5783650887994002,0.2816386411201782,0.7948045309081847
470100,0.5783650887994002,0.2816386411201782,0.7948045309081847
471100,0.5783650887994002,0.2816386411201782,0.7948045309081847
472100,0.5783650887994002,0.2816386411201782,0.7948045309081847
473100,0.5783650887994002,0.2816386411201782,0.7948045309081847
474100,0.5212746504343285,0.2816386411201782,0.7948045309081847
475100,0.5212746504343285,0.2816386411201782,0.7948045309081847
476100,0.5212746504343285,0.2816386411201782,0.7948045309081847
477100,0.5212746504343285,0.2816386411201782,0.7948045309081847
478100,0.5212746504343285,0.23291010567923526,0.7948045309081847
479100,0.5212746504343285,0.23291010567923526,0.7948045309081847
480100,0.5212746504343285,0.23291010567923526,0.7717981363030578
481100,0.5212746504343285,0.23291010567923526,0.7717981363030578
482100,0.5212746504343285,0.23291010567923526,0.7717981363030578
483100,0.5212746504343285,0.23291010567923526,0.7717981363030578
484100,0.5212746504343285,0.23291010567923526,0.7717981363030578
485100,0.5212746504343285,0.23291010567923526,0.7717981363030578
486100,0.5212746504343285,0.23291010567923526,0.7717981363030578
487100,0.5212746504343285,0.23291010567923526,0.7677367027396768
488100,0.5212746504343285,0.23291010567923526,0.7295578884549132
