NoOfEvals,RexJggKTabletP14K5_0,RexJggKTabletP14K5_1,RexJggKTabletP14K5_2
0,546533.4778024702,542156.5616257418,546097.4754777572
100,282951.69389971526,347778.0224852865,323041.7231690534
1100,116426.30104609663,114679.28610531683,136013.07151093025
2100,78502.79850219456,87946.68672209822,102431.47930761769
3100,51495.41895061276,58740.55946716345,63727.994107907536
4100,22695.79490950541,30387.242937578216,38935.83678274274
5100,22496.980483531675,18133.27111557092,27621.557063947974
6100,15616.97247666393,15707.44253733822,13952.635444109459
7100,9922.580608865232,7757.227101962441,10793.670056276766
8100,6551.723598271614,5950.391667813486,5237.951451490611
9100,2731.3161177385296,3938.4812952369984,3183.9423404381396
10100,1630.157357437681,2895.6260157079614,1725.3021982515504
11100,1670.9307573319727,2162.6686377902124,1649.8527556108063
12100,729.271245173956,1081.2272351563186,861.4869888404747
13100,534.4552140048984,573.753987396576,729.6869082822508
14100,286.7766458364401,436.57506493208,273.75152229078117
15100,303.91308009005087,246.84771963723443,345.4200867582189
16100,111.86278854398563,168.6387404237161,104.84876325533759
17100,109.80496540106354,143.54658740183092,90.02404955903552
18100,62.73288760889759,85.11045166286586,73.74796750885274
19100,40.926903032523576,66.05988015438533,35.575969242364955
20100,17.152691908626682,34.742502129408564,19.465399114481325
21100,17.152691908626682,24.657607472951817,20.661100049071155
22100,12.593477892574388,14.906674039894613,10.477710351645493
23100,7.419581914657737,7.653736709979566,6.775139235077035
24100,4.890124485923828,6.54872605955661,6.093671745515998
25100,3.0413486975502737,1.887837754509494,3.3468054452111864
26100,2.246645970939621,2.8148442323165126,2.821402896012901
27100,1.714025839363922,1.8185359818446367,2.551435054901948
28100,1.0407927701237705,1.4218553005135104,1.7719493410541725
29100,0.7543401639107639,1.0793719540801994,1.5287457977478869
30100,0.4411140534084325,0.8857323869106591,1.136929893886896
31100,0.3884586230429036,0.717616229854024,1.0044977330713893
32100,0.30626560868941843,0.6755806863115138,0.7986516991738
33100,0.23542864505959937,0.5596799765280212,0.6983408164683823
34100,0.2269692750199161,0.40265083480628266,0.688437505840841
35100,0.17081395195650984,0.3671932495588715,0.6498372651788996
36100,0.14263679081736136,0.3671932495588715,0.5810966932216864
37100,0.10501727216551199,0.296357117949641,0.4718137035796451
38100,0.08649675977353678,0.25148165537018635,0.43524801159489623
39100,0.07580027445278315,0.20002787343170814,0.33337398072952457
40100,0.05447560174515071,0.1428753194942976,0.23730335258382307
41100,0.0439011780197098,0.09322590669833847,0.18747096366905552
42100,0.0337139609628541,0.07080901122674087,0.11501558586532759
43100,0.026561906223660944,0.05541059520015937,0.1022390961412335
44100,0.014982777508228773,0.0460639014700056,0.08034574540072259
45100,0.011333747791901622,0.037506984814393345,0.05557941714917798
46100,0.007385717787849309,0.02854592999314178,0.049259259705528156
47100,0.0066459094942613725,0.02639264319650008,0.035277127080724675
48100,0.004478438947796265,0.021644536087505526,0.028884174584278947
49100,0.0027640206643341075,0.017419820028790826,0.022994194279976784
50100,0.0025681027749191857,0.01313535714560758,0.01852536291134444
51100,0.0016086413706479436,0.01051770977306576,0.016681284354429376
52100,0.0012495507600870782,0.0058426598244319655,0.013861066185843016
53100,5.585192147320272E-4,0.006323492858810858,0.010871220497225453
54100,4.5241091146237307E-4,0.004824398987439871,0.0087689267669269
55100,2.3536118215627434E-4,0.0035583867719964483,0.008781580009567741
56100,2.711283584705472E-4,0.0033364362627880564,0.007763587062747451
57100,1.686097441858533E-4,0.0025248667851492817,0.006958747023403125
58100,1.1604069097527009E-4,0.002160508270222184,0.006243116236019661
59100,1.033124429149703E-4,0.0015244265171676014,0.006059931072524033
