NoOfEvals,output/report02/RexJggKTabletP14K10_0,output/report02/RexJggKTabletP14K10_1,output/report02/RexJggKTabletP14K10_2
0,479390.0383330391,408690.17003732605,652260.774195403
200,184523.99077290535,284410.73947596597,273947.50414991524
2200,131033.71982026364,127767.09469653868,132329.17615963568
4200,58031.11933968358,60309.380710358186,82675.23858096763
6200,36267.09490899433,39168.14585512592,36363.989771749744
8200,19431.416423921186,18404.83656685399,13873.045458236316
10200,15308.90869188711,12483.541538242032,4796.138131983399
12200,4880.172382583426,8069.854303614056,4796.138131983399
14200,4283.282798668952,3822.465312622362,2378.7002093246297
16200,2360.3361387483396,1610.2092980914342,2396.3784485071133
18200,927.6068182561886,1193.9987437818477,1312.750687718686
20200,684.0121617268663,641.8029328876182,670.46490193734
22200,249.85029476500694,184.91526161205886,270.8518445800484
24200,167.6785052562093,184.91526161205886,205.79286416233614
26200,162.31344093744147,123.26440994697104,187.3933508473968
28200,45.98867586946939,86.84247722182498,74.43949531196866
30200,23.04218904585095,45.77531724263369,44.19403931549853
32200,23.04218904585095,26.19933668327047,29.361428295427594
34200,14.4476618736894,16.493470665007685,10.99198861925723
36200,10.045712243835542,10.2329121928402,5.027006238938222
38200,5.687467463731926,4.245406500440347,4.925477288105759
40200,2.9011559095936885,2.14210739182363,2.7772080851006504
42200,1.810263995706243,2.316647048731534,1.5142653638490562
44200,1.4299477939679925,1.758653274166625,1.0835263493893215
46200,0.9262476714201415,1.095633894429608,0.6180137546113879
48200,0.7065055168469838,0.984013981138356,0.529014590927225
50200,0.5329611305013442,0.8817419711507991,0.3263741258123087
52200,0.3937087654114346,0.6689614815324766,0.2699743766885103
54200,0.32929361930634643,0.48405356071620453,0.16409765077970875
56200,0.2422816340860091,0.3610243198291162,0.12310934741500267
58200,0.21615028594651917,0.20738135819999154,0.10003316543181512
60200,0.1479967837765929,0.15008373824417506,0.06835334883168039
62200,0.10995393478538622,0.10152970627599898,0.04843950821137479
64200,0.06296814836044774,0.0724754041299987,0.02305202706065272
66200,0.04282890022134027,0.046872263990779504,0.01429794915369647
68200,0.03145793314606699,0.040400155997614644,0.006595516698552724
70200,0.01630350200356818,0.020729466200576245,0.004365954912820389
72200,0.01579903112566275,0.006792642033119157,0.0035655674382087934
74200,0.01054539934094447,0.006792642033119157,0.0021942252593458267
76200,0.0062333162429766,0.006472518389590646,0.0010847939397539673
78200,0.004866854621356777,0.003599289289494847,8.344269736748056E-4
80200,0.0030553916680690217,0.0020560911283695658,3.234558143064851E-4
82200,0.0021658844043471784,0.00117378047536351,2.491004976651005E-4
84200,0.0015290824157821186,8.077985245640257E-4,1.726843061094048E-4
86200,7.334982559978398E-4,4.1719288944114073E-4,9.98008191401929E-5
88200,3.941638730954094E-4,2.374591655779361E-4,8.002140213786454E-5
90200,2.655645957301964E-4,1.0069723269170132E-4,3.708120163355639E-5
92200,1.4483042945485973E-4,9.054968255193049E-5,2.393711886739873E-5
94200,7.029110957442275E-5,3.7152932001129185E-5,1.2807767774203134E-5
96200,3.62895339102625E-5,2.7957066419151588E-5,9.364209226586845E-6
98200,3.3429240193530634E-5,1.802040557329038E-5,5.084174275049113E-6
100200,1.3900300633473185E-5,1.009865193066847E-5,3.5846249728235523E-6
102200,7.562583627255557E-6,7.03936566255941E-6,1.942022497387749E-6
104200,5.4263884449822044E-6,3.3486504943725145E-6,6.208678341130368E-7
106200,4.376560547093546E-6,2.0190912763968934E-6,5.833781855242442E-7
108200,1.8119189190896719E-6,9.23644137407677E-7,4.432478143954003E-7
110200,1.4498028517992922E-6,7.103510245392465E-7,3.295601904136052E-7
112200,7.071895023117897E-7,3.897683341596693E-7,1.5629027538769156E-7
113000,1.9807885734459057E-7,3.0855376131512583E-7,9.256455547802451E-8
116200,1.9807885734459057E-7,1.3155253634232873E-7,
117000,1.583396039604425E-7,8.79644920448389E-8,
118400,5.760305234835286E-8,,
