NoOfEvals,output/report02/RexJggKTabletP14K2_0,output/report02/RexJggKTabletP14K2_1,output/report02/RexJggKTabletP14K2_2
0,535725.7595845782,451274.75984079903,580936.161682961
40,243242.10689669513,439764.5839168669,368132.61853889335
440,243242.10689669513,219533.61613991292,202038.65407759725
840,181318.47634291602,161995.64332175528,149571.18691514782
1240,125665.00853091429,158975.0064669378,136880.70751225305
1640,91230.99409438888,128568.22515193639,79718.03497354535
2040,72223.17483653776,87758.52406946158,49766.61102207325
2440,48541.87819324984,49829.10838625663,41462.726172352326
2840,32929.355222290746,47168.382255436096,31231.352489532255
3240,26877.219545761483,19515.529655790157,31231.352489532255
3640,16271.318695453454,15161.032766392833,13892.200359972125
4040,14271.517853189654,13109.896137545755,13892.200359972125
4440,8525.507871422025,14391.481749392859,9472.173770357327
4840,10645.512893753857,9253.605919888665,7351.534050510502
5240,10199.268959202675,5335.9029911484895,7351.534050510502
5640,5725.040092945639,3604.3203413427473,5880.894036862683
6040,4233.673858002384,3604.3203413427473,2799.8928731248275
6440,4110.905575481041,2687.4407873741475,2799.8928731248275
6840,2987.1219991988546,3302.7801434997746,1490.5987173613416
7240,1793.8605816286756,2955.5669810483455,887.2933155378547
7640,1453.3219435227415,1875.9003911119325,1228.2899954921888
8040,1288.3062871622922,1405.4768655494356,902.6384002605594
8440,701.1554054330951,883.5946269755354,487.69631006310834
8840,995.4973050426355,530.1453967196427,487.69631006310834
9240,604.0854493894037,370.3517459891948,261.5941271940119
9640,436.27217860119845,370.3517459891948,261.5941271940119
10040,372.4298549609663,370.23531272897884,305.187657016588
10440,229.39425621800098,311.0665782620804,264.0848019736034
10840,278.7472608477886,212.88391604102486,167.94846477109235
11240,183.03306727585004,127.99229561811774,149.52426783032777
11640,168.2300087893609,123.89107077136998,94.65454426298756
12040,58.37755023933015,105.43132275367772,78.75269140111884
12440,84.63224471684092,84.29172943786341,45.334813965410135
12840,60.872820068135255,58.254305584896514,45.334813965410135
13240,51.53229854593254,46.25817597974267,27.978855661434
13640,50.94131923023342,33.167149824573286,27.978855661434
14040,33.93017392064959,28.393512084220813,26.0575004795555
14440,33.56809176564229,17.10783109510864,19.052156004744173
14840,19.86948599729919,17.10783109510864,16.011604027254855
15240,13.448917981962841,9.117271901518315,8.320292782500076
15640,12.749693733700488,9.117271901518315,7.019122364311736
16040,13.10225445738001,7.824066060438993,6.208620139101839
16440,9.367356862053896,4.697192049426957,3.793819412114967
16840,5.653018605154104,4.697192049426957,3.4073547521576364
17240,5.309230196203933,4.697192049426957,2.726445871334367
17640,5.309230196203933,3.375277916922793,2.726445871334367
18040,3.8625693222809714,1.8867971559494967,1.9484579079964877
18440,3.6110395543290323,1.5602905937658436,1.9376627144850838
18840,3.5713263870736887,1.2113415468027846,1.5158645760618774
19240,2.650472963827777,1.0159036471233929,1.5158645760618774
19640,2.6207564352760597,0.9423376242288024,1.5067903271709449
20040,2.0768662874986017,0.7997511931199122,1.261451001589442
20440,2.0768662874986017,0.7997511931199122,1.0995996226758777
20840,2.368223650948657,0.5594664980231272,0.9913097799683346
21240,2.0861543838791037,0.5708556273225684,0.8624320329005285
21640,1.8906930406217903,0.4470616129570582,0.9459115633424652
22040,1.826515675945009,0.3424760861938158,0.8193991404082891
22440,1.745478226221175,0.3190004502492853,0.7587436007421239
22840,1.4113613298335976,0.2994632051945182,0.656159260796463
23240,1.4113613298335976,0.2828838246315776,0.6299664613598741
23640,1.5416730544821793,0.24727635844108087,0.5597926076504468
24040,1.4545946315083202,0.23701771980763248,0.5675883482582698
24440,1.3943066713423085,0.21350952806340917,0.5798554725612047
24840,1.3941542338469002,0.19810940528878138,0.4819708830927463
25240,1.3187154081118526,0.1928108324482179,0.5103774785125916
25640,1.3330063377576031,0.19041466032764054,0.4841708909203526
26040,1.3123379570736846,0.16468235446986118,0.44847881880596624
26440,1.284620385278807,0.16267765860746936,0.44250970616798846
26840,1.2613296782250216,0.1561251405945522,0.3854512373659056
27240,1.2261527804746792,0.15283818918508796,0.40341053045814695
27640,1.2261527804746792,0.14337417991078633,0.39518673254085807
28040,1.2126126658287897,0.13497208819202083,0.39074832407100146
28440,1.2123488412131698,0.1284277995413857,0.37555365463806967
28840,1.1944243715971972,0.12651829592542538,0.3657190177694196
29240,1.176303628748347,0.12651829592542538,0.334848888161596
29640,1.1659038208557313,0.12373647214030134,0.32787971992093295
30040,1.1443023810292277,0.11837995699122578,0.31999065432509083
30440,1.1310986244521757,0.11505879547568597,0.31169650724528314
30840,1.110921059150932,0.1116432750815718,0.30349821808001587
31240,1.110921059150932,0.11480226966169836,0.2970923431789
31640,1.1118081241449709,0.114527486637413,0.28519144979674277
32040,1.1097361921094997,0.10994751115623377,0.28519144979674277
32440,1.0969508655595837,0.1105488913176458,0.2725907885681894
32840,1.0939085217618083,0.10588351413796651,0.2827850969366193
33240,1.0793536209448058,0.10527758833356068,0.27678548886901466
33640,1.0799160100762972,0.10527758833356068,0.27013613891094035
34040,1.0799160100762972,0.1046967978811037,0.2682294879978315
34440,1.0787065921212413,0.10372239896515496,0.25856004914946984
34840,1.074213166060155,0.1042355687386882,0.2534121003216911
35240,1.0681125268528373,0.10377285380491391,0.2534266407134059
35640,1.067013247866363,0.10290740316838197,0.2512572293013972
36040,1.058714715915339,0.1023623827217468,0.24938088603219288
36440,1.058714715915339,0.10195111553699036,0.24534682965110488
36840,1.0571076752560908,0.1001063886665067,0.24488098025151636
37240,1.0562367615296475,0.09781894115119244,0.24330161272950623
37640,1.0513119837257199,0.09843395857594767,0.24274271624619384
38040,1.048653508197596,0.0971003833153346,0.2374948497197301
38440,1.0331233192212341,0.097268032300727,0.2373834634997936
38840,1.0331233192212341,0.09713237798374372,0.23731262317805193
39240,1.0331233192212341,0.09591699702654216,0.23502731640320923
39640,1.0331233192212341,0.0961739425808985,0.23502731640320923
40040,1.0363314298593005,0.09543400185582816,0.23307843643589393
40440,1.036624240151997,0.09468191538953231,0.23122336380733088
40840,1.035893866207993,0.09468191538953231,0.2308687180376931
41240,1.035893866207993,0.09497025360059587,0.22588320878059964
41640,1.030603280005841,0.0945026680748353,0.2274846680286218
42040,1.0338694984778403,0.09416537742867674,0.22762039754126318
42440,1.0306293517057579,0.09417129647263185,0.2262564185857648
42840,1.0306293517057579,0.0932940299225042,0.223948511790073
43240,1.030100057674162,0.09270330596418952,0.223948511790073
43640,1.030100057674162,0.09267018657868864,0.22305907795200902
44040,1.0280528064106238,0.09247380077134612,0.2218541788694854
44440,1.028485009470104,0.09245246579090642,0.22153888619361634
44840,1.028143821101596,0.09223634827730116,0.2220818998566743
45240,1.026745138638702,0.09219482878992458,0.22149888418720914
45640,1.0268285183986505,0.0918294522030623,0.22214802231014547
46040,1.0256173607245005,0.09150188683096316,0.22154588247455703
46440,1.0250005523252976,0.09150188683096316,0.22127866295485266
46840,1.0250005523252976,0.09150188683096316,0.22080763427903816
47240,1.0248048555417837,0.09150188683096316,0.21960828596454007
47640,1.0249497696959078,0.09150188683096316,0.2200359166567164
48040,1.023735079764432,0.09118165236991119,0.2195162773929125
48440,1.0237773048317,0.09118165236991119,0.2195162773929125
48840,1.0230450960667063,0.09118165236991119,0.21931462649180816
49240,1.022809465731712,0.09079213765044328,0.21912098689178677
49640,1.0226430453684185,0.09081556051090328,0.2187870858188736
50040,1.0219617371196745,0.09081556051090328,0.21839541750893118
50440,1.0219617371196745,0.0908819329824864,0.21839541750893118
50840,1.021536779389616,0.09076753660135659,0.21788033036231805
51240,1.0211931822161957,0.09073165600963423,0.2180357151914672
51640,1.0215153386599927,0.09060156987166823,0.21783821098109526
52040,1.0211804110602343,0.09041035749434304,0.21783821098109526
52440,1.0200227297207647,0.0904533239301651,0.21740597399446282
52840,1.0200227297207647,0.090460676923295,0.21757346895055135
53240,1.020434095022868,0.09043142212478926,0.21710023905631526
53640,1.0202781895789101,0.09038515739553887,0.21710023905631526
54040,1.0196915233740615,0.09027734338154851,0.21720144208679412
54440,1.0196648420766987,0.09024725579083571,0.2168614196844632
54840,1.0196648420766987,0.09021772441633799,0.21692639064381725
55240,1.0192376649910158,0.09013892648843029,0.21665360755380725
55640,1.0192376649910158,0.09011372581475417,0.21643034621014176
56040,1.0192594987964727,0.09001312754507179,0.21643034621014176
56440,1.018871782233127,0.08998856833595871,0.21642078610361884
56840,1.0187306023113234,0.08997429500368291,0.2163493660995746
57240,1.0185761757194793,0.0899634925462776,0.21607920278828788
57640,1.0185890096643921,0.08982195680492303,0.21598527029474246
58040,1.0182176154122498,0.08982195680492303,0.21598527029474246
58440,1.017633043051182,0.08977671437460215,0.21598527029474246
58840,1.0181296635726853,0.08977671437460215,0.21584545492400417
59240,1.0179620653553993,0.08976336525676276,0.21584545492400417
59640,1.01784609409558,0.08973645937385907,0.21584545492400417
60040,1.017665832480669,0.08974410593897371,0.21573443704099046
60440,1.0177595084886228,0.08969958962525279,0.21573443704099046
60840,1.0177009293373085,0.08968630439121957,0.21574497532834316
61240,1.01758711359458,0.08965929853642536,0.21566664018686124
61640,1.0175334103554499,0.08966457828075716,0.21552538452601974
62040,1.017350491791439,0.08962685833831617,0.21545375826674723
62440,1.0174581408531573,0.08960528781695888,0.21548003413088576
62840,1.0173122870060014,0.08960079707939379,0.2154938560338501
63240,1.017051576547406,0.08959317824031453,0.21539398258301554
63640,1.017051576547406,0.08958567414654951,0.2153271082756966
64040,1.017051576547406,0.08954645855169258,0.2153123487326346
64440,1.017011701185773,0.08954645855169258,0.21528706959672203
64840,1.0169627899461766,0.08954645855169258,0.21526172603310723
65240,1.016972268732648,0.08952648138673835,0.21526172603310723
65640,1.0168025158284038,0.08952648138673835,0.21519195441663774
66040,1.0168282077285549,0.0895179476518988,0.21520650582566805
66440,1.0167455595883559,0.0895298720874508,0.2151535115554732
66840,1.016761365411269,0.08951857114500222,0.2151535115554732
67240,1.0167695597229158,0.08950998689309357,0.2150781903908962
67640,1.0166577014324456,0.08949866513672833,0.21508528793489368
68040,1.0166714427546248,0.08949000971342518,0.21508528793489368
68440,1.0166004945426592,0.08949866513672833,0.21506394357817482
68840,1.0165971653781944,0.08949866513672833,0.2150239859258142
69240,1.0165971653781944,0.08949391650176576,0.21502233987314487
69640,1.0165971653781944,0.08949050591567118,0.21498466610192654
70040,1.0165452315267889,0.08948559989796465,0.21492218522200118
70440,1.0165452315267889,0.08947985403358652,0.2149365762678144
70840,1.016553801041911,0.08946809302773606,0.21484334902234306
71240,1.0165210600733126,0.08947114730877967,0.21482316862001755
71640,1.0164752247077964,0.08946392566575051,0.21482316862001755
72040,1.0164842736943103,0.08946037553326003,0.21482316862001755
72440,1.0164842736943103,0.08945976267416085,0.21480738492029258
72840,1.016460790080878,0.08945867970194196,0.21479454572261172
73240,1.016460790080878,0.08945344441510553,0.21479454572261172
73640,1.0164421058689426,0.08945223083762031,0.21477237995362902
74040,1.0164262529862718,0.08945219543900028,0.21473714288419005
74440,1.0163951716849622,0.08945030679219987,0.21473714288419005
74840,1.0164103381389198,0.08945109136366015,0.21475054349840728
75240,1.016385804241972,0.08944805039600753,0.21474834086824932
75640,1.0163894276782905,0.08944199251520552,0.21472918939629548
76040,1.0163686031594255,0.08944199251520552,0.21471516822723602
76440,1.0163602271080554,0.08944224034222789,0.21471310795514018
76840,1.0163579303703623,0.08944210019206383,0.21468122868988646
